author,Contributing State,title,Publication Info, genre,Link to text
Mrs. F. A. Humphrey,Massachusetts,Dean Stanley with the Children,"Boston: D. Lothrop & Co., 1884.","Religious Instruction, Memoir",https://hdl.handle.net/2027/mdp.39015016444807
Mrs. K. T. Woods,Massachusetts,Doctor Dick,"Boston: D. Lothrop & Co., 1881.",Novel,https://books.google.com/books?id=pJTv7BZqypoC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
"Elizabeth S. Phelps,  Elizabeth Stuart Phelps, Elizabeth Stuart Phelps Ward",Massachusetts,Doctor Zay,"Boston: Houghton, Mifflin and Co., 1882.",Novel,https://archive.org/details/doctorzay00phelgoog
Kate Tannatt Woods,Massachusetts,Doll Betsey at the Post Office and Other Stories,"Boston: D. Lothrop & Co., 1881? ",Stories,
A. M. Diaz,Massachusetts,"Domestic problems: Work and Culture in the Household, and the Schoolmaster's Trunk","Boston: J.R. Osgood & Company, 1881.",Essays,https://hdl.handle.net/2027/hvd.32044087385860
Sarah E. Titcomb,Massachusetts,"Early New England People. Some account of the Ellis, Pemberton, Willard, Prescott, Titcomb, Sewall and Longfellow, and allied families","Boston: W.B. Clarke & Carruth, 1882.","History, Reference, Biography",https://hdl.handle.net/2027/nyp.33433081810073
Anna L. Boyden,Massachusetts,Echoes from Hospital and White House. A Record of Mrs. Rebecca R. Pomroy's Experiences in War-times,"Boston: D. Lothrop & Co., 1884.","Biography, History",https://hdl.handle.net/2027/loc.ark:/13960/t2p560w3n
L. M. Alcott,Massachusetts,"Eight cousins; or, The Aunt-hill","Boston: Roberts Brothers, 1874.",Novel,https://hdl.handle.net/2027/mdp.39015039750016
Clara E. Clement,Massachusetts,Eleanor Maitland,"Boston: J.R. Osgood & Company, 1881.",Novel,https://hdl.handle.net/2027/hvd.hn36u9
Mrs. N. L. Knox,Massachusetts,Elementary Lessons in English for Home and School Use,"Boston: Ginn, Heath and Co., 1882.",Textbook,https://hdl.handle.net/2027/hvd.32044097051957
Mrs. N. L. Knox,Massachusetts,Elementary Lessons in English for Home and School Use,"Boston: Ginn, Heath and Co., 1885.",Textbook,https://hdl.handle.net/2027/hvd.32044097052344
Mrs. E. R. Pitman,Massachusetts,Elizabeth Fry,"Boston: Roberts Brothers, 1886.",Biography,https://hdl.handle.net/2027/nyp.33433082422001
Miss A. Mary F. Robinson,Massachusetts,Emily Bronte,"Boston: Roberts Brothers, 1883.",Biography,https://hdl.handle.net/2027/wu.89097269344
Frances S. Compton; Frances Snow Compton,Massachusetts,Esther,"New York: Henry Holt, 1884.",Novel,https://hdl.handle.net/2027/mdp.39015004761477
Ednah D. Cheney; E. D. Cheney;  Ednah Dow Littlehale Cheney,Massachusetts,"Faithful to the Light, and Other Tales","Boston: American Unitarian Association, 1871.","Stories, Religious Instruction",https://hdl.handle.net/2027/hvd.ah5t1v
C. F. Adams: John Adams; Abigail Adams; Abigail Smith Adams,Massachusetts,"Familiar letters of John Adams and his wife Abigail Adams,during the revolution, with a memoir of Mrs. Adams by Charles Francis Adams","New York: Hurd and Houghton, 1875.","Biography, History",https://hdl.handle.net/2027/hvd.32044009912031
Eva Marie Niles,Massachusetts,"Fancy Work Recreations; A Complete Guide to Knitting, Crochet, and Home Adornment","Minneapolis, Minn: Buckeye Pub. Co., 1885.",Textbook,https://archive.org/details/fancyworkrecreat00nile
Katherine Hamilton,Massachusetts,Far from Home; from the German of Johannes van Derval [pseud.] tr. by Kathrine Hamilton.,"Boston: D. Lothrop & Co., 1884.",Novel,
Amanda B. Harris,Massachusetts,"How We Went Birds'-Nesting; Field, Wood, and Meadow Rambles","Boston: D. Lothrop & Co., 1880.",Textbook,https://hdl.handle.net/2027/hvd.hn5i54
"L. C. Moulton, Louise Chandler Moulton, Louisa Chandler, Ellen Louise Chandler ",Massachusetts,Firelight Stories,"Boston: Roberts Brothers, 1883.",Stories,https://hdl.handle.net/2027/hvd.hn2sp8
Miss Maria Parloa,Massachusetts,First Principles of Household Management and Cookery; A Text-book for Schools and Families,"Boston: Houghton, Osgood, 1880.","Textbook, Cookbook",https://hdl.handle.net/2027/uc1.31822042771055
Laura E. Richards,Massachusetts,"Five Mice in a Mouse-Trap; by the Man in the Moon, Done in vernacular, From the Lunacular","Boston: Estes and Lauriat, 1880.",Stories,https://hdl.handle.net/2027/nyp.33433082230909
"Margaret Sidney, Harriett Mulford Stone Lothrop, Harriett M. Lothrop",Massachusetts,Five Little Peppers Abroad,"Boston: D. Lothrop & Co., n.d. ",Novel,https://hdl.handle.net/2027/nyp.33433082547898
Margaret Sidney; Harriett Mulford Stone Lothrop; Harriett M. Lothrop,Massachusetts,Five Little Peppers Midway,"Boston: Lothrop, Lee and Shepard, n.d.",Novel,https://hdl.handle.net/2027/nc01.ark:/13960/t55d9xj32
Margaret Sidney; Harriett Mulford Stone Lothrop; Harriett M. Lothrop,Massachusetts,Five Little Peppers at School,"Boston: Lothrop, Lee and Shepard, n.d. ",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/fk3fx74335
Margaret Sidney; Harriett Mulford Stone Lothrop; Harriett M. Lothrop,Massachusetts,Five Little Peppers and How They Grew,"Boston: D. Lothrop & Co., 1881.",Novel,https://hdl.handle.net/2027/hvd.hn24xw
S. J. Burke,Massachusetts,For Mack's Sake,"Boston: D. Lothrop & Co., 1881.",Stories,
L. M. Thurston,Massachusetts,Forrest Mills; A Peep at Child Life From Within,"Boston: Sunday School Society, 1868.",Novel,https://hdl.handle.net/2027/hvd.hx5a2b
Carrie A. Cooke,Massachusetts,From June to June,"Boston: D. Lothrop & Co., 1882.",,
Cary Curtisr; Caroline Gardiner Curtis,Massachusetts,From Madge to Margaret,"Boston: Lee and Shepard, 1880.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t7sn02z37
B. E. E.; E. E. E.; E. E. Brown,Massachusetts,From Night to Light,"Boston: D. Lothrop & Co., 1872.",Novel,https://hdl.handle.net/2027/njp.32101067631505
Mrs. Julia Ward Howe,Massachusetts,From the Oak to the Olive; A Plain Record of a Pleasant Journey,"Boston: Lee and Shepard, 1868.",Travel Narrative,https://hdl.handle.net/2027/wu.89098856008
Mrs. Charles Willing,Massachusetts; Pennsylvania,Genevieve of Brabant,"Philadelphia: J.B. Lippincott & Co., 1878.",Poetry,https://hdl.handle.net/2027/hvd.hnqmis
Mathilde Blind; Mathilda Blind,Massachusetts,George Eliot,"London: W.H. Allen, 1884.",Biography,http://www.gutenberg.org/ebooks/36847.mobile
Bertha Thomas,Massachusetts,George Sand,"Boston: Roberts Brothers, 1883.",Biography,https://hdl.handle.net/2027/uiuo.ark:/13960/t2799ck44
Ednah D. Cheney;  Ednah Dow Littlehale Cheney,Massachusetts,Gleanings in the Field of Art,Boston: Lee and Shepard; 1881.,Scholarly Work,https://hdl.handle.net/2027/hvd.hw2bp9
"Mrs. A. E. Porter, Ann Emerson Porter",Massachusetts,Glencoe Parsonage,"Boston: D. Lothrop & Co., 1870.",Novel,
Ellen Hollis,Massachusetts,Glimpses Through,"Boston: D. Lothrop & Co., 1873.",Novel,
"Mary Andrews Denison, M. A. D., Clara Vance, N. I. Edson",Massachusetts,Grandmother Normandy,"Boston: D. Lothrop & Co., 1882.",Novel,
E. Peabody and Mary Mann,Massachusetts,Guide to the Kindergarten and Intermediate Class,"New York: E. Steiger, 1877.",Textbook,https://archive.org/details/guidetokinderga00peabgoog
Mrs. Agassiz,Massachusetts,A First Lesson in Natural History,"Boston: Little, Brown and Co., 1859.",Textbook,https://hdl.handle.net/2027/uc1.$b306601
Ellen H. Richards; Ellen Henrietta Swallow Richards; Ellen Swallow Richards,Massachusetts,First Lessons on Minerals,"Boston: Press of Rockwell and Churchill, 1882.",Textbook,https://hdl.handle.net/2027/uc1.$b31344
Ellen E. Fitz,Massachusetts,"Hand-book of the Terrestrial Globe; or, Guide to Fitz's New Method of Mounting and Operating Globes: Designed for the Use of Families, Schools, and Academies","Boston: Ginn, Heath and Co., 1878.",Textbook,https://hdl.handle.net/2027/hvd.hw23g5
Mrs. F. Fenwick Miller,Massachusetts,Harriet Martineau,"Boston: Roberts Brothers, 1885.",Biography,https://hdl.handle.net/2027/loc.ark:/13960/t08w40x2t
"Mary Andrews Denison, Mrs. C. W. Denison, M. A. D., N. I. Edson, Clara Vance ",Massachusetts,"Stella; or, Hidden Treasure",Glasgow: 1878.,Novel,
Lucy Larcom,Massachusetts,"Hillside and Seaside in Poetry; A Companion to ""Roadside poems""","Boston: J.R. Osgood & Company, 1877.",Poetry,https://hdl.handle.net/2027/osu.32435005925987
"Mary Andrews Denison, Mrs. C. W. Denison, M. A. D., N. I. Edson, Clara Vance ",Massachusetts,His Triumph,"Boston: Lee and Shepard; New York, C.T. Dillingham, 1883",Novel,https://hdl.handle.net/2027/hvd.hn1uxw
L. M. Alcott,Massachusetts,"Hospital Sketches; and, Camp and Fireside Stories","Boston: Roberts Brothers, 1869.",,https://hdl.handle.net/2027/uiug.30112001977443
